"SAMPLEID","LAT","LONG","INDEX_REGION","INDEX_NAME","ni_total","nt_CruMol","pi_ffg_pred","pi_ffg_shred","pi_habit_cling","pi_CruMol","nt_tv_toler","pt_NonIns","pi_habit_climb","pi_EPT","pi_EPTNoBaeHydro","pi_tv_toler","nt_EPT","pi_Cru","pt_tv_intol","nt_NonIns","pi_ffg_scrap","pi_IsopGastHiru","pi_NonIns","pi_Pleco","pt_tv_toler","pi_ffg_col","pi_habit_sprawl","nt_Trich","nt_habit_cling","pi_tv_intol"
"350210-8/11/06",44.19194,-83.85333,"NARROW","MIEGLE_2020",302,8,14.9006622516556,6.95364238410596,42.0529801324503,29.4701986754967,5,30.7692307692308,21.8543046357616,24.5033112582781,10.9271523178808,6.62251655629139,10,8.60927152317881,15.3846153846154,12,22.8476821192053,15.8940397350993,31.1258278145695,0,12.8205128205128,36.0927152317881,6.95364238410596,5,10,20.8609271523179
"350211-8/3/06",44.20496,-83.87545,"NARROW","MIEGLE_2020",316,7,20.8860759493671,3.48101265822785,35.7594936708861,21.2025316455696,4,22.5,16.1392405063291,22.1518987341772,12.9746835443038,4.11392405063291,13,0.316455696202532,22.5,9,18.6708860759494,11.0759493670886,22.7848101265823,0,10,37.0253164556962,17.4050632911392,9,14,27.8481012658228
"350211-9/5/06",44.20496,-83.87545,"NARROW","MIEGLE_2020",255,4,18.8235294117647,9.41176470588235,59.6078431372549,5.09803921568627,1,21.2121212121212,11.7647058823529,56.078431372549,45.0980392156863,1.56862745098039,14,1.56862745098039,30.3030303030303,7,34.5098039215686,3.13725490196078,7.45098039215686,0,3.03030303030303,27.843137254902,16.8627450980392,8,14,44.7058823529412
"350212-7/14/11",44.36496,-83.61515,"VERYNARROW","MIEGLE_2020",238,1,22.6890756302521,32.3529411764706,26.4705882352941,18.0672268907563,1,12,15.1260504201681,30.2521008403361,25.2100840336134,0.840336134453782,11,18.0672268907563,36,3,4.20168067226891,0,23.9495798319328,8.82352941176471,4,31.9327731092437,19.7478991596639,7,9,29.8319327731092
"350212-8/15/06",44.36496,-83.61515,"VERYNARROW","MIEGLE_2020",262,4,11.0687022900763,38.9312977099237,32.824427480916,44.2748091603053,2,17.8571428571429,6.87022900763359,25.9541984732824,19.8473282442748,2.29007633587786,13,37.7862595419847,32.1428571428571,5,8.77862595419847,4.19847328244275,45.4198473282443,0.381679389312977,7.14285714285714,21.3740458015267,6.87022900763359,7,12,22.9007633587786
"350213-8/2/06",44.19861,-83.64252,"VERYNARROW","MIEGLE_2020",330,5,18.4848484848485,11.8181818181818,20,38.1818181818182,6,24.1379310344828,37.8787878787879,15.1515151515152,14.2424242424242,30.9090909090909,8,5.75757575757576,13.7931034482759,7,28.7878787878788,28.7878787878788,40.9090909090909,0,20.6896551724138,34.8484848484849,17.5757575757576,6,10,2.42424242424242
"350214-8/4/06",44.2678,-83.65386,"VERYNARROW","MIEGLE_2020",311,3,10.2893890675241,13.1832797427653,15.7556270096463,20.5787781350482,3,20,9.32475884244373,13.1832797427653,9.0032154340836,15.7556270096463,7,11.8971061093248,16,5,7.07395498392283,15.7556270096463,63.6655948553055,0,12,54.983922829582,4.82315112540193,6,9,9.32475884244373
"350215-9/5/06",44.27807,-83.72191,"MIDSIZEDRY","MIEGLE_2020",252,6,2.38095238095238,7.14285714285714,27.7777777777778,15.8730158730159,4,22.5806451612903,13.4920634920635,69.8412698412698,56.3492063492063,11.9047619047619,15,3.96825396825397,35.4838709677419,7,53.968253968254,11.9047619047619,20.2380952380952,0.396825396825397,12.9032258064516,26.984126984127,5.55555555555556,8,12,53.5714285714286
"350246-8/11/11",44.26729,-83.60295,"VERYNARROW","MIEGLE_2020",368,4,3.53260869565217,40.4891304347826,4.6195652173913,43.2065217391304,1,35.2941176470588,3.80434782608696,0.815217391304348,0.815217391304348,1.35869565217391,2,41.5760869565217,11.7647058823529,6,2.44565217391304,1.6304347826087,43.75,0,5.88235294117647,52.9891304347826,1.35869565217391,2,6,0.815217391304348
"350247-8/10/11",44.17016,-83.72236,"MIDSIZEDRY","MIEGLE_2020",293,3,15.0170648464164,13.6518771331058,42.6621160409556,14.3344709897611,5,14.8148148148148,8.19112627986348,38.5665529010239,38.2252559726962,5.11945392491468,9,11.2627986348123,18.5185185185185,4,4.43686006825939,3.7542662116041,14.6757679180887,0,18.5185185185185,41.296928327645,11.9453924914676,5,9,26.962457337884
